ticker,name,market,sector,market_cap,total_score,grade,growth_score,sector_score,momentum_score,value_score,d_eps_growth,d_revenue_cagr,d_operating_margin,d_sector_flow,d_analyst_reports,d_news_multiplier,d_volume_multiplier,d_week52_position,d_institutional_buying,d_forward_peg,d_pbr_ratio,raw_eps_growth_pct,raw_revenue_cagr_pct,raw_operating_margin_trend,raw_volume_multiplier,raw_week52_position_pct,raw_institutional_buying,raw_pbr_vs_sector,raw_forward_peg,raw_sector_flow,raw_analyst_count,raw_news_multiplier,last_updated
128820,대성산업,"market    KOSPI
market      STK
Name: 963, dtype: object",,1820.7279895,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.57,30.63,,,,,0,,2026-09-21 13:47:16
033530,SJG세종,"market    KOSPI
market      STK
Name: 965, dtype: object",,1820.6197227,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.98,53.32,,,,,0,,2026-09-21 13:47:19
094820,일진파워,"market    KOSDAQ
market       KSQ
Name: 966, dtype: object",,1816.9844345,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.86,49.55,,,,,0,,2026-09-21 13:47:21
102940,코오롱생명과학,"market    KOSDAQ
market       KSQ
Name: 967, dtype: object",,1815.6666361,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.82,19.11,,,,,0,,2026-09-21 13:47:21
067290,JW신약,"market    KOSDAQ
market       KSQ
Name: 968, dtype: object",,1815.6021372,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.16,75.55,,,,,0,,2026-09-21 13:47:21
102260,동성케미컬,"market    KOSPI
market      STK
Name: 970, dtype: object",,1811.43787825,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.31,75.63,,,,,0,,2026-09-21 13:47:24
000140,하이트진로홀딩스,"market    KOSPI
market      STK
Name: 971, dtype: object",,1810.12767,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.51,73.86,,,,,0,,2026-09-21 13:47:25
318060,그래피,"market    KOSDAQ
market       KSQ
Name: 972, dtype: object",,1796.6606262,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.64,23.28,,,,,0,,2026-09-21 13:47:27
487570,HS효성,"market    KOSPI
market      STK
Name: 974, dtype: object",,1788.44496,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.79,63.66,,,,,0,,2026-09-21 13:47:28
009470,삼화전기,"market    KOSPI
market      STK
Name: 975, dtype: object",,1785.7314,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.27,45.63,,,,,0,,2026-09-21 13:47:30
213500,한솔제지,"market    KOSPI
market      STK
Name: 976, dtype: object",,1785.0432,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.12,76.55,,,,,0,,2026-09-21 13:47:30
464080,에스오에스랩,"market    KOSDAQ
market       KSQ
Name: 977, dtype: object",,1783.343331,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.13,34.74,,,,,0,,2026-09-21 13:47:32
419530,SAMG엔터,"market    KOSDAQ
market       KSQ
Name: 979, dtype: object",,1773.0144369,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.47,26.31,,,,,0,,2026-09-21 13:47:34
293780,압타바이오,"market    KOSDAQ
market       KSQ
Name: 980, dtype: object",,1772.6938555,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.97,57.85,,,,,0,,2026-09-21 13:47:35
003220,대원제약,"market    KOSPI
market      STK
Name: 982, dtype: object",,1765.0507821,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.49,57.57,,,,,0,,2026-09-21 13:47:37
002100,경농,"market    KOSPI
market      STK
Name: 985, dtype: object",,1753.127235,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.75,75.97,,,,,0,,2026-09-21 13:47:42
088800,에이스테크,"market    KOSDAQ
market       KSQ
Name: 986, dtype: object",,1751.7492688,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.44,29.34,,,,,0,,2026-09-21 13:47:43
264850,이랜시스,"market    KOSDAQ
market       KSQ
Name: 987, dtype: object",,1751.0285736,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.53,60.97,,,,,0,,2026-09-21 13:47:43
308430,셀비온,"market    KOSDAQ
market       KSQ
Name: 988, dtype: object",,1746.0804603,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.17,32.04,,,,,0,,2026-09-21 13:47:44
082800,비보존 제약,"market    KOSDAQ
market       KSQ
Name: 989, dtype: object",,1745.6903975,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.58,36.09,,,,,0,,2026-09-21 13:47:46
000300,DH오토넥스,"market    KOSPI
market      STK
Name: 991, dtype: object",,1740.35631,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,2026-09-21 13:47:49
230240,에치에프알,"market    KOSDAQ
market       KSQ
Name: 992, dtype: object",,1738.1554,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.35,33.17,,,,,0,,2026-09-21 13:47:50
083930,아바코,"market    KOSDAQ
market       KSQ
Name: 993, dtype: object",,1734.8508318,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.59,67.89,,,,,0,,2026-09-21 13:47:50
